article,headlines
"Who are Russia’s oligarchs and why are they under scrutiny?3 min read . Updated: 04 Mar 2022, 01:02 PM IST
Roman Abramovich isn’t on any sanctions lists but has moved to sell a trophy asset, the Chelsea FC soccer club
Roman Abramovich isn’t on any sanctions lists but has moved to sell a trophy asset, the Chelsea FC soccer club
In response to Russia’s invasion of Ukraine, the U.S., the European Union, the U.K., Australia and others have said they are moving to scrutinize the assets of a handful of rich and powerful Russians.
These governments say such people have profited from their close ties to Russian President Vladimir Putin. Many have spent lavishly outside Russia, boosting local economies with property purchases and other investments. Now, authorities around the world see them as a way to pressure Mr. Putin.
The scrutiny has turned a group of mostly obscure officials and businesspeople into some of the world’s most closely tracked individuals.
Some have publicly signaled they are against the war. Many of Russia’s better-known oligarchs aren’t on any governments’ sanctions lists. That is the case with Roman Abramovich, who made his money in the energy business and is the owner of British soccer club Chelsea FC. In recent days, he has offered to mediate peace efforts and said he’s looking to sell Chelsea.
What is an oligarch?
The term comes from political science. An “oligarchy"" describes a power system led by a small group of people. In recent years, the word “oligarch"" has taken on a more specific meaning when it relates to Russia, referring to the group of Russian businesspeople and officials who gained wealth and power in the years following the collapse of the Soviet Union.
Why are Western governments imposing sanctions on Russian oligarchs?
The U.S. has sanctioned many of these individuals in years past, including after Russia’s 2014 annexation of Crimea. After Russia invaded Ukraine, the U.S., EU and U.K. have intensified restrictions and added names to their target lists.
The Biden administration has said the oligarchs provide resources to support Mr. Putin’s Ukraine military campaign and must pay the price. Mr. Putin is “looking at the impact on his own economy, on his rich and wealthy oligarch friends, and on the people of Russia,"" White House press secretary Jen Psaki said in February about the U.S. and allied sanction effort.
How did Russia’s oligarchs gain their wealth and power?
The country’s current crop of billionaires and officials accumulated wealth and power in different ways. Some of those on the sanction list are part of Mr. Putin’s inner circle; others are longtime associates; still others benefited from a wave of privatizations that followed the collapse of the Soviet Union.
Do they all have yachts?
No, but like many superhigh-net-worth individuals, many do. French authorities Thursday seized one they said belongs to a company majority owned by Igor Sechin, the chief executive of Russian oil producer Rosneft. The 280-foot yacht, the Amore Vero, was seized overnight at a shipyard in La Ciotat, on France’s Mediterranean coast. The yacht was undergoing repairs, but French authorities said arrangements were being made for it to sail urgently. Mr. Sechin is sanctioned by the US and EU. When he was sanctioned in 2014 by the U.S., he said he considered the move an endorsement of his effectiveness at Rosneft.
What are some of them saying about the Russian attack on Ukraine?
Oleg Deripaska, a raw-materials magnate who was previously sanctioned in the U.S., wrote on social media Sunday that peace “is very important."" Mr. Deripaska sued the Treasury Department in 2019 challenging his inclusion in an agency report on Russian oligarchs as well as the sanctions against him, alleging the U.S. made false accusations based on rumor and innuendo to support the sanctions. A court ruled against him last June.
Mikhail Fridman, a founder of Alfa Bank, Russia’s largest private bank, was sanctioned by the EU late Monday. Mr. Fridman said that he would contest the designation and that he isn’t politically or financially connected to Mr. Putin.
“It seems to me that we have done a lot of good things, invested in companies, created a lot of jobs,"" Mr. Fridman said at a press conference from his private-equity firm’s office in London. “We will litigate to protect our reputation.""
What has President Biden said about oligarchs?
“We are joining with our European allies to find and seize your yachts, your luxury apartments, your private jets,"" Mr. Biden said Tuesday during his State of the Union address. “We are coming for your ill-begotten gains.""
This explanatory article may be updated periodically.
Never miss a story! Stay connected and informed with Mint. Download our App Now!!
Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp",Who are Russia’s oligarchs and why are they under scrutiny?
"HT Digital Stream Ltd. welcomes you to livemint.com, our digital business information site. Below are our terms and conditions for use of the site, which you may access in several ways, including the World Wide Web, PDA, mobile phone, digital television, and RSS feeds. These terms and conditions apply whenever you access the site, on whatever devices.
By using the site as a reader or registered user, you are deemed to have accepted these terms and conditions. If you are registered as a user, please read carefully the privacy policy.
Any changes we make to the terms and conditions will be reflected on this page.
Access to and use of this site (livemint.com) is provided by HT Digital Stream Ltd. subject to the following terms:
1) By using livemint.com you agree to be legally bound by these terms, which shall take effect immediately on your first use of livemint.com. If you do not agree to be legally bound by all the following terms please do not access and/or use livemint.com.
2) HT Digital Stream Ltd. may change these terms at any time by posting changes online. Please review these terms regularly to ensure you are aware of any changes made by HT Digital Stream Ltd. Your continued use of livemint.com after changes to this policy are posted means you agree to be legally bound by these terms as updated and/or amended.
3) You may not copy, reproduce, republish, download, post, broadcast, transmit, make available to the public, or otherwise use livemint.com content in any way except for your own personal, non-commercial use. You also agree not to adapt, alter or create a derivative work from any livemint.com content except for your own personal, non-commercial use. Any other use of livemint.com content requires the prior written permission of HT Digital Stream Ltd.
4) You agree to use livemint.com only for lawful purposes, and in a way that does not infringe the rights of, restrict or inhibit anyone else's use and enjoyment of livemint.com. Prohibited behaviour includes harassing or causing distress or inconvenience to any person, transmitting obscene or offensive content or disrupting the normal flow of dialogue within livemint.com.
Disclaimer of Liability
HT Digital Stream Ltd. does not accept any responsibility for any statement in the material. You must not rely on any statement we have published on livemint.com without first taking specialist professional advice. Nothing in the material is provided for any specific purpose or at the request of any particular person.
We give no warranties of any kind and without any representations for material—information, names, images, pictures, logos and icons—found in livemint.com.
You can access other sites via links from livemint.com. These sites are not under our control and we are not responsible in any way for any of their contents.
HT Digital Stream Ltd. is not liable for any of the following losses or damages (whether such losses where foreseen, foreseeable, known or otherwise):
(a) loss of data;
(b) loss of revenue or anticipated profits;
(c) loss of business;
(d) loss of opportunity;
(e) loss of goodwill or injury to reputation;
(f) losses suffered by third parties; or
(g) any indirect, consequential, special or exemplary damages arising from the use of livemint.com regardless of the form of action.
You must take your own precaution in this respect, as we accept no responsibility for any infection by virus, by other contamination or by anything that has destructive properties.
If You're Under 18:
i) Please get permission from a parent or guardian before taking part in any livemint.com discussion.
ii) Never reveal any personal information about yourself or anyone else (for example,telephone number, home address or email address).
Third Party Material On livemint.com
You will see advertising material submitted by third parties on livemint.com. Advertisers are solely responsible for the content of advertising material, which they submit to us, including ensuring that it complies with relevant legislation. We accept no responsibility for the content of advertising material, including, without limitation, any error, omission or inaccuracy therein.
Text Submission To livemint.com
Users of our site may submit material for publication in various areas of the site, including our blog service. We accept no liability with respect to any material submitted by users and published by us and we are not responsible for its content and accuracy.
If you want to submit material to us for publication on livemint.com, you may do so on the following terms and conditions:
1) publication of any material you submit to us will be at your sole discretion. We reserve the right to make additions or deletions to the text or graphics prior to publication, or to refuse publication;
2) you grant us a non-exclusive, perpetual, royalty-free, worldwide licence to republish any material you submit to us in any format, including, without limitation, print and electronic format;
3) you declare to us that any material you submit to us is your own original work and that you own the copyright and any other relevant rights;
4) you warrant that the material you submit is not obscene, offensive, defamatory of any person or otherwise illegal;
5) you agree not to post material including spamming which is deliberately intended to upset other users;
6) you acknowledge that any breach of these warranties may cause us damage or loss and you agree to indemnify us in full and permanently against any third party liabilities, claims, costs, loss or damage we incur as a result of publishing material you submit to us, including consequential losses;
7) we reserve the right to remove your access to individual services if we believe you are abusing the services in any way.
Graphic Material Submission To livemint.com
When you send a photograph or other graphical material to us you do so in accordance with these Terms of Use. This means that you hereby agree that you have taken the photograph(s) you have sent to us or you have permission from or are authorised by the owner of the photograph(s) to send it (them) to us, and you are granting us a non-exclusive, royalty-free licence to publish or otherwise use the photograph(s) in any way and at any time we want on livemint.com. The photograph(s) must not be defamatory and may not break any laws.
Selected photographs and graphical material will be published at the discretion of the editor and you will not be paid, even if your photograph(s) is (are) published.
We may cut, edit, crop or arrange your photograph(s) or graphic as we think fit to appear on livemint.com, and we may remove your photograph(s) or graphics at any time.
Your name will be published alongside your photograph(s) or graphic, but we may edit or delete any comments, which you submit along with your photograph(s) or graphic.
Safety
We advise that you never reveal any personal information about yourself or anyone else (for example: telephone number, home address or email address). Please do not include postal addresses of any kind. If you have a helpful address to share, inform the host of the relevant community area using the 'Contact Us' link, and they will promote it if they see fit.
General
These terms may vary from time to time. Please ensure that you review these terms and conditions regularly as you will be deemed to have accepted any variation if you continue to use the site after it has been posted.
Although we will do our best to provide constant, uninterrupted access to livemint.com, we do not guarantee this. We accept no responsibility or liability for any interruption or delay.
Governing Law & Jurisdiction
These terms shall be governed by and interpreted in accordance with the laws of India and especially the Information Technology Act, 2000. All relevant rules, regulations, directions, orders and notifications will also apply.
By choosing to browse this site, you agree to the site's Privacy Policy",Terms of Use – mint
"Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp","Mint Columns: Opinion & Expert Views from the Policy, Business & Finance."
"Premium
Loading...
Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp",Read Premium News and Stories on Mint
"Russia races to protect financial system from barrage of sanctions4 min read . Updated: 04 Mar 2022, 10:45 AM IST
Stock trading remains halted and Moscow has announced new measures to protect economy
Stock trading remains halted and Moscow has announced new measures to protect economy
BY Georgi Kantchev | UPDATED 3? 01, 2022 03:41 ?? EST
Stock trading remains halted and Moscow has announced new measures to protect economy
Russia sifted through the financial wreckage caused by Western sanctions, as its stock market remained closed and the government announced new measures to try to limit the damage to the economy.
Sanctions imposed by the US and European nations in recent days have cut major Russian banks’ access to the dollar and other reserve currencies and will soon sever some of the lenders from the Swift global-payments messaging system.
The West has also blocked Russia’s central bank from using much of its sizable reserves to protect the economy. Meanwhile, many Western companies, including energy majors BP PLC and Shell PLC, have said they will exit their Russian investments and joint ventures.
On Tuesday, the Russian government announced a temporary ban on foreign investors exiting local assets. It wasn’t immediately clear what the decision entailed and how it would affect Western companies that have already announced they would quit Russia. The move followed a number of retaliatory measures announced by the Kremlin on Monday, including a ban on the issuance of loans by Russian residents to foreigners, and ordering exporters to sell 80% of their foreign-currency gains from exports.
The Kremlin was defiant, saying sanctions wouldn’t change Moscow’s course. “They believe that by imposing sanctions they can force us to change our position,"" President Vladimir Putin’s spokesman, Dmitry Peskov, said Tuesday.
Mr. Peskov spoke of the droves of Russians who stood in line at cash points across the country in a frantic rush to get money out.
“Unfortunately, this is an emotional first reaction,"" he said. “I just want to wish everyone peace and express confidence that in fact, after a certain number of days, these emotions will subside.""
Prime Minister Mikhail Mishustin said the government would spend one trillion rubles, equivalent to around $9 billion, to buy shares in Russian companies. The central bank more-than-doubled interest rates Monday to 20% in an emergency move.
Large parts of Russia’s financial architecture remained in suspended animation as officials worked on stabilizing the system. Tuesday was also the first day that Russians were restricted from sending money to bank accounts abroad, an extreme measure to keep suddenly scarce foreign currency in the economy.
Mr. Putin signed an executive order Tuesday banning people from taking more than $10,000 of foreign currency out of the country in cash, according to state newswire TASS.
Foreigners associated with “states that take hostile actions against Russia"" will need the approval of the Russian government to transact with securities and real estate and to receive ruble loans. Mr. Putin’s decree didn’t specify which states are deemed hostile.
Trading on the Moscow Exchange was again suspended, as was business on the onshore foreign-exchange market. There was only sporadic trading of the ruble in international markets, with most banks unwilling to touch Russian assets.
The consequences of Western sanctions reverberated outside Russia, where companies that provide vital financial plumbing unplugged the country from the grid.
Russian government bonds disappeared from trading screens after a top bond platform, Tradeweb, suspended trading of the securities, citing Western sanctions.
Clearinghouse operator Euroclear prepared to stop investors from clearing trades involving ruble-denominated securities. Euroclear’s competitor, Deutsche Börse’s Clearstream unit, said Monday, it would stop settling domestic trades in Russia, accepting rubles as a settlement currency and settling trades for various Russian-linked stocks and bonds. Clearing and settling is a necessary cog to trade securities by ensuring buyers receive their purchased security and sellers get paid.
The Swift system said Tuesday that it was ready to eject Russian banks covered by Western sanctions. “We are engaging with these authorities to understand which entities will be subject to these new measures and will disconnect them once we receive legal instruction to do so,"" the organization said.
Western banks have moved to disconnect Russian financial firms and companies from international markets. In London, Bank of New York Mellon resigned as the depository agent for VTB Bank PJSC depositary receipts traded in the British capital. Germany’s Deutsche Boerse AG said it would suspend trading after markets close Tuesday in more securities of sanctioned or Russian state-backed companies, having suspended more than 15 securities Monday, including VTB Bank and Sberbank depositary receipts.
Other banks moved to stop functions they provide around shares of some Russian companies trading on European exchanges, to meet a coming EU deadline to stop listing or providing services to state-owned entities.
Goldman Sachs Group, Inc. and UBS Group AG told clients they would no longer process trading of the shares of Russian companies listed on Western markets.
Banks including HSBC Holdings PLC are freezing correspondent banking with entities harshly sanctioned by the U.S. Correspondent banks provide crucial access to global currencies that Russian banks can pass to companies to conduct trade or pay suppliers. HSBC keeps sterling-denominated accounts in London for VTB and around seven other Russia-registered banks, according to data provider Intelbridge.
Switzerland’s UBS has accounts for VTB and Sberbank, and Credit Suisse supplies Swiss francs or other currencies to around 15 smaller Russian banks, according to the data, including some of those sanctioned recently.
Spokespeople for VTB, Sberbank, HSBC, UBS and Credit Suisse didn’t immediately respond to requests for comment.
MSCI Inc. signaled it could cut Russia from widely followed equity indexes. Market assessments by MSCI and competitors such as London Stock Exchange Group PLC’s FTSE Russell unit help determine how investors allocate many billions of dollars.
On Monday, Central Bank of Russia governor Elvira Nabiullina said the country’s banking sector was experiencing a structural liquidity deficit, meaning there was a shortage of easily accessible money critical to keeping the financial system running.
Never miss a story! Stay connected and informed with Mint. Download our App Now!!
Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp",Russia races to protect financial system from barrage of sanctions
"Rurash Financials announced office move to Nirlon House at Worli Mumbai2 min read . 07 Mar 2022
The new location is situated in a prime area. It is easy to navigate the office since it is near popular landmarks. The location will let the team and our clients take advantage of all the things the area offers.",Brand Stories on mint
"Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp",Mint Business News Displaying Recommended For You Stories Customized To Match Your Interests
"Brand Post
LIVE: Mint Winning with Antifragility: Investment Disputes – Looking Back and Looking Forward
BRAND POST
The Best IDO Launchpads for Crypto in 2022 – BoostX, TrustPad and DAO Creator2 min read . Updated: 07 Mar 2022
BRAND POST
The Best Has Come! Perfios receives the Best Brands 2021 Award!2 min read . Updated: 07 Mar 2022
BRAND POST
Marcus Schulz Lists 5 Actionable Steps to Transform Your Dreams to Reality2 min read . Updated: 07 Mar 2022
BRAND POST
#OwnTheNew with Tata CLiQ Luxury at The Luxe Life 25 min read . Updated: 04 Mar 2022
BRAND POST
David Yerushalmi’s injury firm helps families earn compensation they deserve2 min read . Updated: 28 Feb 2022
BRAND POST
Benefits of Using a Personal Loan EMI Calculator3 min read . Updated: 28 Feb 2022
BRAND POST
Xoxoday raises US$30 Million from Giift and Apis Partners4 min read . Updated: 25 Feb 2022
BRAND POST
Helpurstartup.in launched to assist & upscale entrepreneurs1 min read . Updated: 25 Feb 2022
BRAND POST
Best Online Casinos in India | Real Money Indian Casino Sites (2022)14 min read . Updated: 24 Feb 2022
BRAND POST
5 Best Growth Stocks with 10x Potential to Buy 20227 min read . Updated: 23 Feb 2022
BRAND POST
12 Best New Cryptocurrency to Invest in 20228 min read . Updated: 23 Feb 2022
BRAND POST
Ahmed Khan’s 4 Pro Tips to Glow Your Social Media Presence2 min read . Updated: 22 Feb 2022
BRAND POST
Snapdeal’s 360-degree approach to delivering value4 min read . Updated: 22 Feb 2022
BRAND POST
Cambio – A premium bicycle brand launched1 min read . Updated: 21 Feb 2022
BRAND POST
What could Indian rupee on blockchain mean for the country?3 min read . Updated: 21 Feb 2022
BRAND POST
Is Catecoin competing with Shiba Inu and Elon Musk's favorite crypto Dogecoin?3 min read . Updated: 21 Feb 2022
BRAND POST
Leap Scholar helped over 60,000 students move abroad in 2021: Vaibhav Singh2 min read . Updated: 21 Feb 2022
BRAND POST
The World of Denim: (R)Evolution of jeans3 min read . Updated: 21 Feb 2022
BRAND POST",Brand Post Press Release Wire - mint
"Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp","Agriculture News: Agriculture News India, Agriculture Industry, Agriculture Top News & Updates"
"What the Russia-Ukraine crisis means for businesses7 min read . Updated: 04 Mar 2022, 09:01 AM IST
Big brewers, major oil companies, auto makers and airlines are grappling with the fallout from the attack
Big brewers, major oil companies, auto makers and airlines are grappling with the fallout from the attack
Russia’s assault on Ukraine has left Western companies scrambling to ensure the safety of their workers, while girding for disruption stemming from Western sanctions.
Many companies are now re-evaluating their businesses in Russia, with some curtailing their operations there or deciding to leave entirely. Meanwhile, some companies with facilities in Ukraine have suspended operations.
While the relatively small size of the Russian and Ukrainian economies—and the perceived difficulty of doing business there—means most multinationals have limited exposure to the countries, several large Western companies have built up businesses in both.
Even for companies not operating in the region, Russia’s invasion of Ukraine heaps fresh risks on a global economy already struggling with soaring inflation and supply-chain snags amid the recovery from the pandemic.
Oil and Gas
Energy companies are among the most exposed to the region, with several major oil companies building up sizable investments in Russia. While those companies stand to benefit from higher commodity prices, they could also be among those potentially exposed to sanctions or disruption in Russia.
British energy giant BP PLC has said it plans to exit its nearly 20% stake in Russian government-controlled oil producer Rosneft, a move that came after it was pressured to unload the holding by U.K. officials. The company, which relies on Rosneft for roughly one-third of its oil-and-gas production, faces a potential loss of as much as $25 billion on the move. BP said its chief executive and former CEO have resigned from Rosneft’s board. It isn’t yet clear how BP will exit its stake.
Shell PLC also has said it will pull back from Russia. It said it would exit its joint ventures in the country with Russian company Gazprom PJSC and quit its role financing the now-halted Nord Stream 2 gas pipeline.
Separately, Norwegian energy major Equinor ASA said it would stop new investments into Russia and start the process of exiting from its Russian joint ventures after more than 30 years in the country.
Consumer Goods
Several large consumer-goods companies have factories in Ukraine, including Danish brewer Carlsberg A/S, Swiss food giant Nestlé SA and Davidoff cigarettes maker Imperial Brands PLC. All of those companies have suspended operations in the country in recent days, calling for their staff to stay safe at home.
Philip Morris International Inc. has also said it is suspending operations in Ukraine, including its factory in Kharkiv, as Russian forces continue to attack the country.
Among the most exposed is Carlsberg, which has eight breweries in Russia. The brewer has said it generates around 10% of its overall revenue in the country. Yogurt maker Danone SA says it generates about 5% of its revenue from Russia, where it says it mostly sources, produces and sells locally, rather than sending products across borders.
Autos
Several major auto makers have operations in Russia, with some deciding to pull back in light of the conflict, and others warning of disruption to their businesses.
Volvo Car AB and truck maker Volvo AB have both halted business in Russia until further notice, with the Swedish autos brand citing “the potential risks associated with trading material with Russia, including the sanctions imposed by the EU and U.S.""
Daimler Truck Holding AG has said it would suspend deliveries of truck components to its Russian partner Kamaz in the wake of Russia’s invasion of Ukraine.
France’s Renault SA is one of the biggest players in Russia’s car market having in 2014—alongside partner Nissan Motor Co.—taken a controlling stake in AvtoVAZ, the former state-owned Lada manufacturer. The company has temporarily shut a plant near Moscow because of “some logistical issues"" stemming from Western measures against the country.
Renault’s CEO Luca de Meo recently said worsening tensions between Russia and Ukraine could lead “to another supply-chain crisis linked to parts that would have to come from abroad."" Separately, Jeep-owner Stellantis NV has said it would be prepared to shift or limit production of its vehicles in Russia if Western sanctions disrupt those operations.
Elsewhere, Volkswagen AG luxury car unit Audi has stopped selling cars that are already with dealers in Russia so it can adjust the price of the vehicles to reflect the decline in the value of the ruble. The conflict has also hindered VW’s operations in Germany, where it has stopped some production because it could no longer get wiring systems produced in Ukraine.
Auto makers, already struggling with a shortage of semiconductors, could also face additional problems if Russia’s supply of palladium were to slow.
Airlines
The fallout from the invasion has led dozens of countries to ban Russian airlines from entering their airspace, triggering reciprocal prohibitions from Moscow. While Russia is a busy route for some Western carriers, the bigger disruption comes from the restriction of Russian airspace, which is used to connect most flights between Europe and Asia.
Russia’s ban now applies to 38 countries, including all European Union members, the U.K. and Canada, meaning a swathe of airlines have had to redirect or cancel routes. Finnair Oyj, for instance, has halted flights from Helsinki to Japan, South Korea and China in response, while Virgin Atlantic Airways Ltd. has stopped flying a cargo route from London to Shanghai.
The political airspace bans come in addition to restrictions over safety concerns. The European Union Aviation Safety Agency has instructed airlines to avoid Ukrainian airspace, as well as that of neighboring Moldova and Belarus. Aircraft also have been restricted from flying in Russia’s southwest Rostov region and in airspace within 200 nautical miles of Ukraine’s border.
Healthcare
Global pharmaceutical companies are looking to ensure that their medicines and vaccines can continue to reach Ukrainian patients. Ukraine relies heavily on medicines from overseas: Imported medicines and vaccines were worth $2.5 billion in 2020, according to United Nations trade data. The biggest share of that comes from Germany, where many large Western drugmakers have plants.
Roche Holding AG said it was continuously working to ensure patients in Ukraine and Russia had access to its medicines and diagnostics. Denmark’s Novo Nordisk A/S, one of the world’s biggest insulin makers, said it was monitoring the safety of the roughly 100 people it has in Ukraine.
Tech
In recent years, companies in the U.S. and Europe have outsourced tech services to Ukraine. Following Russia’s incursion, internet outages occurred across the country, according to a monitoring dashboard run by the Georgia Institute of Technology.
Technology companies, including German software provider SAP SE and London-based financial-technology company Revolut Ltd., as well as Israel-based services marketplace Fiverr International Ltd. and website design and development platform Wix.com Ltd., say they employ workers in the region. SAP said it had closed its Kyiv office and taken safeguarding measures to support its employees, while Wix said it evacuated employees to Poland and Turkey.
The CEO of Grammarly, a startup founded in Ukraine that aims to improve people’s writing, said he is hopeful that the situation between Russia and Ukraine de-escalates but that his company has also prepared for the worst. Brad Hoover said in a LinkedIn post that Grammarly “remains committed to Ukraine,"" is still hiring for various team roles and that the company has plans in place to ensure its services won’t get disrupted.
Meanwhile, U.S. tech giants have come under pressure from both Russia and the West to respond to the conflict in Ukraine.
Agriculture
U.S. agriculture companies operating in Ukraine are closing offices and facilities in the country in response to Russia’s attack. Archer Daniels Midland Co. said it has stopped operating its facilities in Ukraine, where the crop trader and processor employs more than 630 people. ADM’s Ukraine facilities include an oilseed crushing plant in Chornomorsk, a grain terminal in the port of Odessa, six grain silos and a trading office in Kyiv.
Agriculture giant Bunge Ltd., which employs more than a thousand workers in Ukraine, temporarily suspended its own operations at two processing facilities in the country.
Cargill Inc. said that an ocean vessel it chartered was hit by a projectile offshore from Ukraine on the Black Sea on Thursday. The food supplier, which operates an export terminal in Ukraine, said the ship is still seaworthy and no one was injured. The crew is accounted for and the ship is headed for Romania, a spokeswoman said.
Entertainment
Some of Hollywood’s biggest movie studios, including Walt Disney Co. and Warner Bros., are delaying the release of highly-anticipated films in Russia in response to the invasion of Ukraine.
Still, the Russian market represents a fairly small slice of global box office receipts.
Other corners of the American entertainment industry have also cut ties with Russia since the invasion. Rock band Green Day canceled a concert scheduled for the end of May in Moscow, and venue development and investment firm Oak View Group said it was severing all connections to Russia, even down to the Russian alcohol it served in its buildings.
Never miss a story! Stay connected and informed with Mint. Download our App Now!!
Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp",What the Russia-Ukraine crisis means for businesses
"Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp","Mutual Funds India, Mutual Fund Investment, Mutual Fund SIP, Best/Top Mutual Funds - mint"
"Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp",Budget Opinion: Latest news on Budget Views and Opinion - mint
"IFSC code finder
IFSC is short for Indian Financial System Code and represents the 11 digit character that you can usually see on your bank’s.
Select your bank
Please select
State in which bank is situated
Please select
District in which bank is situated
Please select
Branch of Bank
Please select
OR
Enter IFSC Code to know Bank details
Please enter correct IFSC code.","IFSC Code: Search IFSC Bank Codes, MICR Codes of All Bank Branches in India"
"Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp","Business of entertainment: Latest Business of entertainment News, Videos and Top Headlines"
